To nie jest serial o szachach | GAMBIT KRÓLOWEJ
🔗 https://www.youtube.com/watch?v=Yv0dV3R94CU

1:  Dlaczego warto zobaczyć The Queen's Gambit Scotta Franka na Netflixie?
5:  Po polsku Gambit Królowej to smutna informacja dla wszystkich szachistów, którzy wiedzą, że częściej mówimy w kontekście królowej, nazywanej tak potocznie jako o Hetmanie i o Gambicie Hetmańskim zatem.
19:  Ale to przecież nie jest seria dla szachistów.
22:  Nie jest to nawet serial o szachach.
25:  Ba, nie jest to serial o szachistce osiągającej sukcesy w niewątpliwie zmaskulinizowanym środowisku, bardzo trudnym dla kobiet.
35:  Zatem o czym jest Gambit Królowej i dlaczego warto go rzeczywiście zobaczyć?
41:  No cóż, jest to serial o trzech rzeczach, gdybym miał go najkrócej określić, to znaczy jest to serial o ambicji,
49:  Jest to serial o tym, dokąd pcha nas ta ambicja.
53:  I wreszcie jest to serial o cenie, jaką płacimy za pogoń, za naszą ambicją, za wszelką cenę.
60:  Za cenę relacji rodzinnych, miłosnych, emocjonalnych, przyjacielskich.
68:  Cenę straszną, ale równocześnie
71:  Trudno zauważalną, bo przecież z naszej perspektywy robimy to, co kochamy.
77:  Powiada się wszakże, że ten, kto zajmuje się tym, co kocha zawodowo, nie przepracuje w ciągu całego swojego życia ani godziny.
87:  No tak, nie przypracuje ani godziny, ale równocześnie będzie nieobecny, będzie żył tylko i wyłącznie swoją pracą i swoim zamiłowaniem.
96:  I ta miłość będzie go pokrążać jak spirala.
102:  W którymś momencie w tym swoim fachu, będącym równocześnie hobbym, człowiek się zatraca.
109:  I to pokazuje Anna Taylor-Joy w swojej przepięknej, poruszającej kreacji, sprawiającej, że Gambit Królowej, jak to się mawia po polsku, ogląda się jak świetną sensację, albo jak thriller.
124:  Gdy tymczasem jest to film, no tego się jednak... film, powiedziałem, ale zaraz wyjaśnię dlaczego.
129:  o mimo wszystko szachach i rozgrywkach szachowych, to one wypełniają większą część tej produkcji.
134:  Dlaczego powiedziałem film i przemówiłem się freudowsko?
138:  Z tego względu, że kolejną zaletą tego serialu, znakomitego kinematograficznie i muzycznie i reżysersko, no jest właśnie to, że ogląda się to jak film.
149:  To jest typowa cecha seriali nowej generacji, czyli moglibyśmy wymienić pośród nich chociażby Black Mirror czy Young Pope i tak dalej, które rezygnują z tych sztampowych tropów produkcji amerykańskich, kończących każdy odcinek serialu cliffhangerem i zachęcających do oglądania całego sezonu tym, że nie dopowiada się głównej historii spinającej wszystkie odcinki.
172:  Nie, tutaj dostajemy całość doświadczenia i możemy zanurzyć się w świecie rozgrywek szachowych i
179:  chorych ambicji pracoholika, alkoholika i lekoholika, bo to są trzy przypadłości, na które cierpi genialna szachistka.
194:  Ważne jest przy tym to, że ten geniusz nie jest usprawiedliwieniem dla tego wszystkiego, co przytrafia jej się w życiu i co ona robi.
202:  On ją napędza, ale finalnie, co pokazuje znakomicie produkcja Franka, odnosi ona sukces nie dlatego, że jest genialny.
211:  tylko odnosi ona sukces dlatego, że wokół siebie ma ludzi.
214:  Oczywiście nie chcę spoilować zakończenia i pokazywać, jak ten serial się rozwija, bo jest to przyjemność sama w sobie, ale sam fakt, że nie za bardzo tutaj da się mówić o fabule, jest kolejną zaletą tego serialu.
226:  Więc nie dajcie się zwieść komunikatom marketingowym polskim, że warto zobaczyć ten serial, bo gra w nim Doryciński.
235:  i Dorodziński, którego swoją drogą musiałem zgooglować wcześniej, ponieważ wiedzę o polskich aktorach uważam za niepotrzebny balast dla mojej pamięci, głównie z uwagi na ich wybitny talent aktorski oczywiście.
249:  Wypowiada on w serialu dwie kwestie, z czego obydwie po rosyjsku, natomiast poprzez całą pozostałą część produkcji robi bardzo poważną minę i patrzy groźnym, quasi putinowskim wzrokiem.
263:  Więc nie, nie obejrzyjcie tego serialu dla Marcina Dorosińskiego, nie oglądajcie go dla komunikatów marketingowych i na pewno nie sięgajcie po niego, dlatego że jest o szachach.
276:  Nie, sięgnijcie po niego, jeżeli was interesowało.
281:  problem poruszony chociażby w serialu Patrick Melrose na HBO.
286:  Obejrzyjcie go wtedy, jeżeli interesuje was historia ambicji i tego, do czego ona prowadzi i dajcie mu szansę wreszcie, jeżeli cenicie sobie produkcję nie szablonowe, nie tuzinkowe i bardzo powolny, ale zarazem niewolny od artystycznych zalet sposób przybliżający nam absolutnie pasjonującą i niezwykłą historię.
309:  Bardzo polecam.
310:  Do następnego.
